"""Politeknik Negeri Tanah Laut""","Kab. Tanah Laut, Prov. Kalimantan Selatan","Rp500.000 - 3.500.000","B","13 Program Studi","..."
"""Universitas Siliwangi""","Kota Tasikmalaya, Prov. Jawa Barat","Rp -","Baik Sekali","39 Program Studi","..."
"""Politeknik Negeri Subang""","Kab. Subang, Prov. Jawa Barat","Rp500.000 - 10.000.000","Baik","7 Program Studi","..."
"""Universitas Pembangunan Nasional Veteran Jakarta""","Kota Jakarta Selatan, Prov. D.K.I. Jakarta","Rp300.000 - 302.675.000","Baik Sekali","52 Program Studi","..."
"""Institut Teknologi Bandung""","Kota Bandung, Prov. Jawa Barat","Rp500.000 - 62.500.000","Unggul","158 Program Studi","..."
"""Universitas Pembangunan Nasional Veteran Jawa Timur""","Kota Surabaya, Prov. Jawa Timur","Rp500.000 - 10.000.000","Unggul","44 Program Studi","..."
"""Universitas Indonesia""","Kota Jakarta Pusat, Prov. D.K.I. Jakarta","Rp1 - 16.000.000","Unggul","303 Program Studi","..."
"""Universitas Jambi""","Kab. Muaro Jambi, Prov. Jambi","Rp1 - 20.000.000","Unggul","107 Program Studi","..."
"""Institut Seni Indonesia Padang Panjang""","Kota Padang Panjang, Prov. Sumatera Barat","Rp500.000 - 15.000.000","B","27 Program Studi","..."
"""Institut Pertanian Bogor""","Kab. Bogor, Prov. Jawa Barat","Rp2.000 - 255.000.000","Unggul","254 Program Studi","..."
"""Universitas Pembangunan Nasional Veteran Yogyakarta""","Kab. Sleman, Prov. D.I. Yogyakarta","Rp250.000 - 67.500.000","B","34 Program Studi","..."
"""Politeknik Negeri Sambas""","Kab. Sambas, Prov. Kalimantan Barat","Rp1.500.000 - 3.000.000","Baik Sekali","11 Program Studi","..."
"""Akademi Komunitas Negeri Rejang Lebong""","Kab. Rejang Lebong, Prov. Bengkulu","Rp500.000 - 2.000.000","Baik","3 Program Studi","..."
"""Politeknik Pertanian Negeri Payakumbuh""","Kab. Lima Puluh Koto, Prov. Sumatera Barat","Rp500.000 - 3.750.000","B","26 Program Studi","..."
"""Politeknik Negeri Bali""","Kab. Badung, Prov. Bali","Rp1 - 7.500.000","Baik Sekali","45 Program Studi","..."
"""Politeknik Negeri Madura""","Kab. Sampang, Prov. Jawa Timur","Rp -","Baik Sekali","9 Program Studi","..."
"""Universitas Borneo Tarakan""","Kota Tarakan, Prov. Kalimantan Utara","Rp500.000 - 22.500.000","Baik Sekali","36 Program Studi","..."
"""Politeknik Negeri Jember""","Kab. Jember, Prov. Jawa Timur","Rp500.000 - 7.500.000","B","61 Program Studi","..."
"""Politeknik Negeri Semarang""","Kota Semarang, Prov. Jawa Tengah","Rp100.000 - 7.500.000","A","34 Program Studi","..."
"""Universitas Tanjungpura""","Kota Pontianak, Prov. Kalimantan Barat","Rp50.000 - 168.900.000","Unggul","116 Program Studi","..."
"""Politeknik Pertanian Negeri Samarinda""","Kota Samarinda, Prov. Kalimantan Timur","Rp500.000 - 4.500.000","Baik Sekali","16 Program Studi","..."
"""Universitas Sriwijaya""","Kab. Ogan Ilir, Prov. Sumatera Selatan","Rp250.000 - 230.000.000","Unggul","140 Program Studi","..."
"""Politeknik Negeri Lampung""","Kota Bandar Lampung, Prov. Lampung","Rp1.000.000 - 25.000.000","Baik Sekali","61 Program Studi","..."
"""Universitas Jenderal Soedirman""","Kab. Banyumas, Prov. Jawa Tengah","Rp300.000 - 525.000.000","Unggul","135 Program Studi","..."
"""Politeknik Negeri Cilacap""","Kab. Cilacap, Prov. Jawa Tengah","Rp500.000 - 6.500.000","Baik","15 Program Studi","..."
"""Politeknik Negeri Balikpapan""","Kota Balikpapan, Prov. Kalimantan Timur","Rp -","Baik Sekali","14 Program Studi","..."
"""Universitas Khairun""","Kota Ternate, Prov. Maluku Utara","Rp100.000 - 25.000.000","B","56 Program Studi","..."
"""Universitas Udayana""","Kab. Badung, Prov. Bali","Rp500.000 - 45.000.000","Unggul","175 Program Studi","..."
"""Institut Teknologi Kalimantan""","Kota Balikpapan, Prov. Kalimantan Timur","Rp500.000 - 13.000.000","Baik Sekali","23 Program Studi","34.30 % per tahun"
"""Universitas Pattimura""","Kota Ambon, Prov. Maluku","Rp500.000 - 17.000.000","B","109 Program Studi","43.86 % per tahun"
"""Politeknik Negeri Manado""","Kota Manado, Prov. Sulawesi Utara","Rp2.600.000 - 5.000.000","B","23 Program Studi","60.81 % per tahun"
"""Universitas Lambung Mangkurat""","Kota Banjarmasin, Prov. Kalimantan Selatan","Rp1 - 37.500.000","Baik","170 Program Studi","61.34 % per tahun"
