110,125 Program Studi,...,Rp -,B,"Kota Kendari, Prov. Sulawesi Tenggara",Universitas Halu Oleo,-4.0081683721380905,122.52140434205376
111,129 Program Studi,...,Rp1 - 1,Baik Sekali,"Kota Samarinda, Prov. Kalimantan Timur",Universitas Mulawarman,-0.4683621897642916,117.15413372123051
112,21 Program Studi,...,Rp500.000 - 20.000.000,A,"Kota Denpasar, Prov. Bali",Institut Seni Indonesia Denpasar,-8.65351943951816,115.23282014153006
113,3 Program Studi,...,Rp500.000 - 2.400.000,Baik,"Kab. Pacitan, Prov. Jawa Timur",Akademi Komunitas Negeri Pacitan,-8.202014744429508,111.08756851366161
114,42 Program Studi,...,Rp150.000 - 13.300.000,B,"Kab. Karawang, Prov. Jawa Barat",Universitas Singaperbangsa Karawang,-6.323110321527879,107.30676876814566
115,7 Program Studi,...,Rp500.000 - 5.000.000,Baik Sekali,"Kab. Kep. Sangihe, Prov. Sulawesi Utara",Politeknik Negeri Nusa Utara,3.610411967881288,125.48771844481348
116,26 Program Studi,...,Rp950.000 - 5.700.000,B,"Kota Banjarmasin, Prov. Kalimantan Selatan",Politeknik Negeri Banjarmasin,-3.2956130948015008,114.58236533568682
117,32 Program Studi,...,Rp250.000 - 29.000.000,B,"Kota Magelang, Prov. Jawa Tengah",Universitas Tidar,-7.459234141201851,110.21757651149784
118,8 Program Studi,...,Rp -,Tidak Terakreditasi,"Kota Padang Panjang, Prov. Sumatera Barat",Sekolah Tinggi Seni Indonesia Padang Panjang,-0.4585517964792285,100.40373389982109
119,178 Program Studi,...,Rp250.000 - 2.147.483.647,Unggul,"Kota Jakarta Timur, Prov. D.K.I. Jakarta",Universitas Negeri Jakarta,-6.193948694272248,106.87955938594067
120,138 Program Studi,...,Rp50.000 - 150.000.000,Unggul,"Kota Semarang, Prov. Jawa Tengah",Universitas Negeri Semarang,-7.05033423485351,110.39209118523888
121,43 Program Studi,...,Rp500.000 - 4.000.000,B,"Kota Pontianak, Prov. Kalimantan Barat",Politeknik Negeri Pontianak,-0.053725927623396626,109.34794148921307
122,103 Program Studi,...,Rp114 - 2.525.003.625.000,B,"Kota Bengkulu, Prov. Bengkulu",Universitas Bengkulu,-3.759370019522777,102.27323021360033
123,32 Program Studi,...,Rp500.000 - 15.000.000,Baik Sekali,"Kota Surakarta, Prov. Jawa Tengah",Institut Seni Indonesia Surakarta,-7.557976572504499,110.85327254428881
124,47 Program Studi,...,Rp -,Baik Sekali,"Kota Samarinda, Prov. Kalimantan Timur",Politeknik Negeri Samarinda,-0.5330270474730124,117.12451368105305
125,30 Program Studi,...,Rp1.000.000 - 3.500.000,Baik,"Kab. Kolaka, Prov. Sulawesi Tenggara",Universitas Sembilanbelas November Kolaka,-4.072843682604878,121.62571123079833
126,97 Program Studi,...,Rp250.000 - 27.889.000,A,"Kab. Buleleng, Prov. Bali",Universitas Pendidikan Ganesha,8.116415164980754,115.08857481359996
127,4 Program Studi,...,Rp240.000 - 3.500.000,Baik,"Kab. Nunukan, Prov. Kalimantan Utara",Politeknik Negeri Nunukan,4.082565587677249,117.69146277367312
